index	case	outcome	status	exit_code	duration_ms	message
164	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rg_component_rgb_image_format_GL_RGB_internalFormat_GL_RGB16_type_GL_UNSIGNED_SHORT_pixelSize_3_texLevel_0	pass	Pass	0	240	Pass
165	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rg_component_rgb_image_format_GL_RGB_internalFormat_GL_RGB32F_type_GL_FLOAT_pixelSize_3_texLevel_0	pass	Pass	0	245	Pass
166	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rg_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA16_type_GL_UNSIGNED_SHORT_pixelSize_4_texLevel_0	pass	Pass	0	188	Pass
167	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rg_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA32F_type_GL_FLOAT_pixelSize_4_texLevel_0	pass	Pass	0	238	Pass
168	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgb_component_red_image_format_GL_RED_internalFormat_GL_R16_type_GL_UNSIGNED_SHORT_pixelSize_1_texLevel_0	pass	Pass	0	233	Pass
169	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgb_component_red_image_format_GL_RED_internalFormat_GL_R32F_type_GL_FLOAT_pixelSize_1_texLevel_0	pass	Pass	0	242	Pass
170	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgb_component_rg_image_format_GL_RG_internalFormat_GL_RG16_type_GL_UNSIGNED_SHORT_pixelSize_2_texLevel_0	pass	Pass	0	238	Pass
171	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgb_component_rg_image_format_GL_RG_internalFormat_GL_RG32F_type_GL_FLOAT_pixelSize_2_texLevel_0	pass	Pass	0	239	Pass
172	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgb_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA16_type_GL_UNSIGNED_SHORT_pixelSize_4_texLevel_0	pass	Pass	0	185	Pass
173	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgb_component_rgba_image_format_GL_RGBA_internalFormat_GL_RGBA32F_type_GL_FLOAT_pixelSize_4_texLevel_0	pass	Pass	0	187	Pass
174	KHR-GL46.clear_tex_image.gl_clear_tex_sub_image_clear_rgba_component_red_image_format_GL_RED_internalFormat_GL_R16_type_GL_UNSIGNED_SHORT_pixelSize_1_texLevel_0	pass	Pass	0	184	Pass
